Prenom;Deuxieme Prenom;Nom;Date Naissance;Nationalite;Lieu Naissance;Email;Langue;Genre;Telephone;Code Volontaire;Type Piece Identite;No Piece Identite;Date Delivrance;Date Expiration;Autorite Delivrante;Adresse;Ville;Code Postal;Pays;Contact Urgence Nom;Lien Contact;Telephone Contact;Permis Conduire;Ville Preferee;Secteur Activite 1;Secteur Activite 2
Boubacar;El Hadji;Coulibaly;1993-12-01;Ivoirienne;Kaolack;boubacar.coulibaly294@yahoo.fr;Wolof;Homme;+221 746593336;VOL00605;CIN;JLCABIO3J;2022-07-14;2032-07-11;Gendarmerie Nationale;705 Rue 193;Mbour;85960;Sénégal;Pape;Père;+221 754405208;Non;Dakar;Cérémonies;Protocole
Serigne;Pape;Diallo;2005-01-19;togolaise;Thiès;serigne.diallo844@gmail.com;Anglais;Homme;+221 782410279;VOL00606;Passeport;UOEFVE2S6;2022-10-23;2032-10-20;Ministère de l'Intérieur;691 Rue 165;Kaolack;96342;Sénégal;Joseph;Père;+221 748616370;Non;Dakar;Marketing;Services Liguinstiques
Babacar;Mor;Mendy;1992-01-31;béninoise;Kaolack;babacar.mendy32@gmail.com;Anglais;Homme;+221 760069896;VOL00607;Passeport;1XGK89WRU;2017-07-14;2027-07-12;Police Nationale;819 Rue 17;Louga;80899;Sénégal;Adama;Père;+221 719861562;Non;Diamniadio;Protocole;Protocole
Samba;Mamadou;Konaté;2000-03-01;Française;Dakar;samba.konaté211@gmail.com;Anglais;Homme;+221 786682806;VOL00608;Passeport;8T5PDRV05;2020-03-25;2030-03-23;Ministère de l'Intérieur;136 Rue 109;Kaffrine;94025;Sénégal;Abdoulaye;Tante;+221 713999344;Non;Dakar;Ressources Humaines;Communications
Abdou;Ousmane;Keita;2003-02-06;Malienne;Dakar;abdou.keita504@outlook.com;Italien;Homme;+221 720859671;VOL00609;Passeport;NIVPAVFPU;2018-01-04;2028-01-02;Ministère de l'Intérieur;398 Rue 66;Dakar;29975;Sénégal;Tidiane;Soeur;+221 761603039;Non;Saly;Communications;Réstauration
Mamadou;Ibrahima;Sow;1993-10-10;Sénégalaise;Thiès;mamadou.sow501@gmail.com;Wolof;Homme;+221 752461435;VOL00610;CIN;9VQXXLYMA;2021-05-05;2031-05-03;Ministère de l'Intérieur;51 Rue 91;Diourbel;36958;Sénégal;Kadiatou;Oncle;+221 769733261;Non;Dakar;Opérations Médiatiques;Sport
Samba;Paul;Konaté;2006-05-02;Guinéenne;Ziguinchor;samba.konaté60@gmail.com;Espagnol;Homme;+221 763049602;VOL00611;Passeport;7YMAZ34P0;2024-10-23;2034-10-21;Gendarmerie Nationale;328 Rue 173;Thiès;31475;Sénégal;Nafi;Père;+221 716773088;Oui;Saly;Hébergement;Technologie
Emmanuel;Modou;Bamba;1996-05-31;Sénégalaise;Dakar;emmanuel.bamba408@yahoo.fr;Wolof;Homme;+221 720369571;VOL00612;Passeport;DVPJHXKPB;2017-10-11;2027-10-09;Ministère de l'Intérieur;963 Rue 126;Kaffrine;90305;Sénégal;Ousmane;Ami;+221 754914863;Non;Saly;Marketing;Village Olympique de la Jeunesse
Paul;Mor;Diagne;2007-03-26;cap verdienne;Thiès;paul.diagne207@yahoo.fr;Arabe;Homme;+221 704064391;VOL00613;CIN;UFRT5N09T;2018-08-26;2028-08-23;Gendarmerie Nationale;354 Rue 147;Sédhiou;58515;Sénégal;Antoine;Conjoint;+221 707138360;Non;Saly;Ressources Humaines;Services Médicaux
Serigne;François;Dasylva;1991-07-01;Ivoirienne;Dakar;serigne.dasylva848@gmail.com;Portugais;Homme;+221 776983471;VOL00614;CIN;TRC2J6ITA;2022-06-14;2032-06-11;Gendarmerie Nationale;787 Rue 109;Kaffrine;30630;Sénégal;André;Ami;+221 704162850;Non;Dakar;Services aux Comités Nationaux;Accrédidation
Antoine;Abdou;Mensah;1994-09-07;cap verdienne;Dakar;antoine.mensah205@outlook.com;Italien;Homme;+221 710267665;VOL00615;CIN;V3D6HTK3G;2023-06-29;2033-06-26;Police Nationale;513 Rue 112;Louga;56555;Sénégal;Gabriel;Frère;+221 777776518;Oui;Diamniadio;Services Evenemetiels;Cérémonies
Amadou;El Hadji;Konaté;2006-02-23;mauritanienne;Ziguinchor;amadou.konaté283@yahoo.fr;Espagnol;Homme;+221 758665319;VOL00616;CIN;NERLHFSWL;2017-12-04;2027-12-02;Préfecture;110 Rue 177;Kolda;96808;Sénégal;Mariama;Soeur;+221 751126949;Oui;Diamniadio;Ressources Humaines;Village Olympique de la Jeunesse
Boubacar;Gabriel;Traoré;1993-12-09;Guinéenne;Ziguinchor;boubacar.traoré310@outlook.com;Wolof;Homme;+221 740628142;VOL00617;CIN;LC0NT5RLT;2024-04-10;2034-04-08;Police Nationale;159 Rue 137;Kaffrine;38510;Sénégal;Abdoulaye;Soeur;+221 736996455;Non;Dakar;Ressources Humaines;Services Médicaux
El Hadji;Modou;Sanogo;1991-05-25;Ivoirienne;Thiès;el hadji.sanogo327@gmail.com;Français;Homme;+221 734307181;VOL00618;CIN;MIFRO97J2;2017-07-23;2027-07-21;Ministère de l'Intérieur;376 Rue 76;Sédhiou;39778;Sénégal;Coumba;Ami;+221 758778711;Non;Saly;Sport;Hébergement
Gabriel;Amadou;Ndiaye;2004-05-28;Malienne;Thiès;gabriel.ndiaye159@outlook.com;Français;Homme;+221 797001773;VOL00619;CIN;SDM51EC93;2017-06-18;2027-06-16;Gendarmerie Nationale;460 Rue 69;Thiès;69610;Sénégal;Jean;Ami;+221 727549343;Non;Diamniadio;Cérémonies;Opérations Médiatiques
Ousmane;Lamine;Kane;1991-05-14;Guinéenne;Ziguinchor;ousmane.kane898@yahoo.fr;Arabe;Homme;+221 729233997;VOL00620;CIN;ZV2J6LSO5;2019-09-08;2029-09-05;Ministère de l'Intérieur;76 Rue 127;Ziguinchor;92544;Sénégal;Aminata;Frère;+221 782049380;Non;Dakar;Services Médicaux;Cérémonies
Pierre;Abdou;Ndiaye;2004-12-25;Ivoirienne;Thiès;pierre.ndiaye259@gmail.com;Arabe;Homme;+221 735728953;VOL00621;Passeport;PZ32WP0JA;2018-01-01;2027-12-30;Préfecture;148 Rue 6;Thiès;20662;Sénégal;Ndeye;Tante;+221 717530987;Oui;Dakar;Technologie;Services Evenemetiels
Serigne;Tidiane;Ndao;2007-12-08;Gambienne;Thiès;serigne.ndao728@outlook.com;Français;Homme;+221 742401914;VOL00622;CIN;5WJ0FX2NN;2019-01-22;2029-01-19;Ministère de l'Intérieur;575 Rue 109;Kolda;98629;Sénégal;Sokhna;Tante;+221 797519192;Non;Diamniadio;Communications;Technologie
Michel;Moussa;Ndiaye;2002-05-22;Française;Ziguinchor;michel.ndiaye390@yahoo.fr;Français;Homme;+221 708271789;VOL00623;Passeport;69E2SE8LI;2016-09-30;2026-09-28;Gendarmerie Nationale;774 Rue 82;Fatick;71503;Sénégal;Michel;Frère;+221 713944009;Non;Diamniadio;Durabilité;Arrivées & Départs
François;Lamine;Santos;1991-04-18;Sénégalaise;Dakar;françois.santos357@yahoo.fr;Français;Homme;+221 781803229;VOL00624;Passeport;S56QUSDF9;2024-09-09;2034-09-07;Gendarmerie Nationale;564 Rue 113;Kaolack;47923;Sénégal;Astou;Oncle;+221 701994280;Non;Dakar;Durabilité;Ressources Humaines
Alioune;Amadou;Doumbia;1999-02-24;Française;Kaolack;alioune.doumbia568@gmail.com;Wolof;Homme;+221 761257125;VOL00625;CIN;84IWAD2QH;2023-05-17;2033-05-14;Police Nationale;111 Rue 76;Kaffrine;25605;Sénégal;Tidiane;Soeur;+221 778028368;Oui;Dakar;Village Olympique de la Jeunesse;Services aux Comités Nationaux
Samba;François;Gueye;1992-05-10;Sénégalaise;Dakar;samba.gueye250@outlook.com;Espagnol;Homme;+221 796271982;VOL00626;Passeport;5R2A1Q1LO;2022-02-09;2032-02-07;Préfecture;525 Rue 185;Kaffrine;94509;Sénégal;Mamadou;Mère;+221 721666162;Oui;Diamniadio;Sport;Protocole
Alioune;Amadou;Faye;2004-12-23;cap verdienne;Thiès;alioune.faye422@outlook.com;Wolof;Homme;+221 793502883;VOL00627;Passeport;3FZG6PCMY;2020-03-13;2030-03-11;Police Nationale;579 Rue 30;Kolda;98052;Sénégal;Anne;Frère;+221 746637809;Oui;Diamniadio;Accrédidation;Ressources Humaines
André;Paul;Ndao;2002-12-18;togolaise;Thiès;andré.ndao825@yahoo.fr;Portugais;Homme;+221 783494727;VOL00628;Passeport;UB4GJ49ML;2019-08-12;2029-08-09;Ministère de l'Intérieur;284 Rue 43;Tambacounda;87537;Sénégal;Bernadette;Tante;+221 748605149;Non;Diamniadio;Transport;Services Evenemetiels
Pierre;Joseph;Fall;2006-05-03;Ivoirienne;Kaolack;pierre.fall646@outlook.com;Arabe;Homme;+221 783700976;VOL00629;CIN;W9UTO2UOC;2024-03-18;2034-03-16;Ministère de l'Intérieur;5 Rue 123;Fatick;39255;Sénégal;Aïssatou;Frère;+221 735219207;Non;Diamniadio;Ressources Humaines;Services Liguinstiques
El Hadji;Samba;Bangura;1998-02-06;Guinéenne;Dakar;el hadji.bangura476@outlook.com;Italien;Homme;+221 739259993;VOL00630;CIN;W4YVWTI4P;2023-12-22;2033-12-19;Police Nationale;250 Rue 173;Dakar;91259;Sénégal;André;Tante;+221 768383923;Non;Dakar;Services Evenemetiels;Ressources Humaines
Paul;Amadou;Sarr;2003-06-30;burkinabaise;Dakar;paul.sarr633@outlook.com;Wolof;Homme;+221 705552222;VOL00631;Passeport;2TF0ZN1PJ;2017-03-27;2027-03-25;Préfecture;444 Rue 119;Mbour;97411;Sénégal;Coumba;Oncle;+221 709344457;Non;Dakar;Ressources Humaines;Cérémonies
Cheikh;Moussa;Cissé;1992-12-07;Guinéenne;Kaolack;cheikh.cissé156@yahoo.fr;Espagnol;Homme;+221 702139497;VOL00632;CIN;8LP162BHF;2018-11-30;2028-11-27;Préfecture;340 Rue 73;Dakar;91254;Sénégal;Cheikh;Tante;+221 736711321;Non;Dakar;Services Médicaux;Billeterie
Mamadou;Pape;Tall;2004-08-22;Gambienne;Kaolack;mamadou.tall374@outlook.com;Italien;Homme;+221 715308532;VOL00633;CIN;32B3KYLEZ;2019-01-04;2029-01-01;Ministère de l'Intérieur;776 Rue 46;Dakar;26281;Sénégal;Anne;Conjoint;+221 777431944;Non;Diamniadio;Ressources Humaines;Durabilité
Gabriel;Emmanuel;Camara;1993-04-13;Guinéenne;Kaolack;gabriel.camara834@gmail.com;Italien;Homme;+221 713290466;VOL00634;CIN;X1JV503WX;2019-06-03;2029-05-31;Gendarmerie Nationale;632 Rue 23;Saint-Louis;57160;Sénégal;Samba;Oncle;+221 722614360;Non;Diamniadio;Ressources Humaines;Sport
Moussa;Abdou;Ndiaye;1991-11-23;mauritanienne;Ziguinchor;moussa.ndiaye515@outlook.com;Français;Homme;+221 722376074;VOL00635;Passeport;NUJKN4Z7P;2018-06-17;2028-06-14;Gendarmerie Nationale;24 Rue 98;Kaffrine;13485;Sénégal;Khady;Oncle;+221 722691413;Oui;Saly;Arrivées & Départs;Technologie
Tidiane;Lamine;Dasylva;1996-05-29;béninoise;Thiès;tidiane.dasylva966@yahoo.fr;Arabe;Homme;+221 704833986;VOL00636;CIN;T82NBL6M9;2022-06-20;2032-06-17;Préfecture;956 Rue 14;Kolda;31635;Sénégal;Aminata;Oncle;+221 740579311;Oui;Saly;Réstauration;Transport
Boubacar;Daouda;Sarr;1997-11-30;burkinabaise;Dakar;boubacar.sarr144@yahoo.fr;Anglais;Homme;+221 726018867;VOL00637;CIN;J0TNSFQQV;2017-01-20;2027-01-18;Police Nationale;492 Rue 181;Kolda;14322;Sénégal;Fatou;Mère;+221 700309787;Oui;Saly;Services Evenemetiels;Cérémonies
Cheikh;Moussa;Mensah;2005-07-17;burkinabaise;Kaolack;cheikh.mensah402@yahoo.fr;Anglais;Homme;+221 763201794;VOL00638;CIN;4PQPWKNQ1;2020-02-21;2030-02-18;Préfecture;2 Rue 176;Mbour;84272;Sénégal;Rokhaya;Conjoint;+221 780724994;Oui;Saly;Transport;Ressources Humaines
Ousmane;Samba;Ouattara;1993-07-02;béninoise;Thiès;ousmane.ouattara390@yahoo.fr;Wolof;Homme;+221 792484182;VOL00639;Passeport;XBQTWEKUB;2021-07-30;2031-07-28;Gendarmerie Nationale;390 Rue 181;Kaffrine;76646;Sénégal;Angèle;Père;+221 795266109;Non;Diamniadio;Services Liguinstiques;Sport
Mamadou;Moussa;Diop;1995-09-29;béninoise;Kaolack;mamadou.diop113@gmail.com;Arabe;Homme;+221 738604894;VOL00640;Passeport;WSD2I8CCI;2023-12-11;2033-12-08;Gendarmerie Nationale;871 Rue 44;Diourbel;50886;Sénégal;Bineta;Mère;+221 769027809;Oui;Diamniadio;Réstauration;Hébergement
Pape;Pape;Ndiaye;2001-05-04;cap verdienne;Kaolack;pape.ndiaye891@yahoo.fr;Portugais;Homme;+221 703768026;VOL00641;Passeport;ZBGNZ1FKA;2024-05-03;2034-05-01;Police Nationale;547 Rue 33;Kaolack;36481;Sénégal;Cheikh;Tante;+221 740475846;Non;Diamniadio;Communications;Durabilité
Abdoulaye;Joseph;Camara;2004-09-01;Gambienne;Ziguinchor;abdoulaye.camara1@gmail.com;Anglais;Homme;+221 788520668;VOL00642;Passeport;DOX2OCITQ;2022-10-27;2032-10-24;Gendarmerie Nationale;275 Rue 40;Mbour;56846;Sénégal;Ndeye;Tante;+221 780707538;Oui;Dakar;Technologie;Accrédidation
Emmanuel;Antoine;Dasylva;2006-10-13;Malienne;Kaolack;emmanuel.dasylva660@yahoo.fr;Wolof;Homme;+221 718288702;VOL00643;CIN;9I3KS9H0Z;2017-09-13;2027-09-11;Police Nationale;857 Rue 198;Ziguinchor;22547;Sénégal;Coumba;Ami;+221 732179647;Oui;Saly;Opérations Médiatiques;Durabilité
Mor;Cheikh;Cissé;1991-11-03;cap verdienne;Ziguinchor;mor.cissé988@outlook.com;Portugais;Homme;+221 747799399;VOL00644;Passeport;MBMHG3R5B;2021-11-13;2031-11-11;Gendarmerie Nationale;84 Rue 94;Ziguinchor;25652;Sénégal;Fatou;Ami;+221 735610528;Oui;Saly;Marketing;Services Evenemetiels
Modou;Jean;Diallo;1995-07-10;burkinabaise;Kaolack;modou.diallo827@gmail.com;Français;Homme;+221 737988760;VOL00645;Passeport;Q7D1K577P;2015-04-11;2025-04-08;Police Nationale;943 Rue 98;Diourbel;98671;Sénégal;Mamadou;Père;+221 738483898;Non;Saly;Réstauration;Réstauration
Antoine;Abdou;Bamba;1997-03-03;cap verdienne;Thiès;antoine.bamba903@yahoo.fr;Français;Homme;+221 780801055;VOL00646;Passeport;GBYR9IYSD;2016-12-12;2026-12-10;Préfecture;391 Rue 30;Dakar;41746;Sénégal;Ousmane;Soeur;+221 745942745;Non;Diamniadio;Sport;Arrivées & Départs
Lamine;Mor;Sow;2003-03-18;Sénégalaise;Ziguinchor;lamine.sow5@outlook.com;Wolof;Homme;+221 735917666;VOL00647;CIN;TJMER1MZ3;2017-04-21;2027-04-19;Police Nationale;610 Rue 66;Louga;58682;Sénégal;Samba;Oncle;+221 789621039;Non;Diamniadio;Arrivées & Départs;Services Liguinstiques
Samba;Alioune;Jallow;1994-03-07;mauritanienne;Ziguinchor;samba.jallow33@outlook.com;Espagnol;Homme;+221 789091477;VOL00648;Passeport;SITSMYZTS;2020-04-02;2030-03-31;Ministère de l'Intérieur;870 Rue 116;Dakar;47071;Sénégal;Angèle;Oncle;+221 759089200;Oui;Saly;Ressources Humaines;Protocole
Samba;Pape;Sanogo;1996-10-04;Malienne;Ziguinchor;samba.sanogo390@gmail.com;Espagnol;Homme;+221 729207447;VOL00649;CIN;H7F06QNWL;2020-01-03;2029-12-31;Gendarmerie Nationale;95 Rue 150;Tambacounda;98078;Sénégal;Serigne;Soeur;+221 724452812;Non;Saly;Hébergement;Réstauration
François;Babacar;Sanogo;1998-06-06;Sénégalaise;Ziguinchor;françois.sanogo761@gmail.com;Arabe;Homme;+221 749110084;VOL00650;CIN;DYLBIJF63;2023-07-23;2033-07-20;Gendarmerie Nationale;3 Rue 15;Thiès;32361;Sénégal;Kadiatou;Oncle;+221 757825384;Oui;Diamniadio;Communications;Communications
Mamadou;Moussa;Mendy;2006-06-07;Malienne;Thiès;mamadou.mendy135@yahoo.fr;Espagnol;Homme;+221 725188981;VOL00651;CIN;BPAA7BX6Q;2015-06-30;2025-06-27;Préfecture;732 Rue 79;Kaffrine;55760;Sénégal;André;Mère;+221 755161866;Non;Saly;Protocole;Arrivées & Départs
Michel;Samba;Coulibaly;1997-01-23;béninoise;Dakar;michel.coulibaly233@yahoo.fr;Anglais;Homme;+221 764790031;VOL00652;CIN;3EV5MA9FR;2024-09-23;2034-09-21;Ministère de l'Intérieur;19 Rue 25;Tambacounda;70666;Sénégal;Pierre;Conjoint;+221 743110247;Oui;Dakar;Communications;Durabilité
François;Lamine;Ouattara;1992-01-14;Malienne;Dakar;françois.ouattara485@yahoo.fr;Italien;Homme;+221 757791387;VOL00653;CIN;AXHREE2L8;2019-03-28;2029-03-25;Préfecture;74 Rue 136;Louga;49047;Sénégal;André;Mère;+221 736525041;Oui;Saly;Services Liguinstiques;Services Médicaux
Jean;Samba;Doumbia;1994-03-25;burkinabaise;Thiès;jean.doumbia438@outlook.com;Italien;Homme;+221 743134432;VOL00654;CIN;E91B8MTHB;2024-04-03;2034-04-01;Préfecture;223 Rue 182;Sédhiou;36945;Sénégal;Mamadou;Oncle;+221 778238020;Non;Saly;Village Olympique de la Jeunesse;Sport
Abdou;Samba;Ouattara;2004-10-01;Sénégalaise;Dakar;abdou.ouattara856@gmail.com;Italien;Homme;+221 764867258;VOL00655;Passeport;EC1I6EOMZ;2023-07-31;2033-07-28;Ministère de l'Intérieur;26 Rue 127;Louga;53403;Sénégal;Aïssatou;Ami;+221 716002580;Oui;Saly;Cérémonies;Services aux Comités Nationaux
Tidiane;Amadou;Coulibaly;2004-07-13;mauritanienne;Dakar;tidiane.coulibaly173@gmail.com;Wolof;Homme;+221 744998414;VOL00656;CIN;2EQOKTS3U;2021-04-22;2031-04-20;Gendarmerie Nationale;245 Rue 98;Dakar;63403;Sénégal;Ousmane;Soeur;+221 758822493;Non;Saly;Cérémonies;Communications
Moussa;Alioune;Seck;2006-07-24;mauritanienne;Kaolack;moussa.seck407@gmail.com;Wolof;Homme;+221 701849185;VOL00657;CIN;PEBZ9ZFTS;2015-12-26;2025-12-23;Police Nationale;300 Rue 155;Tambacounda;44342;Sénégal;Amadou;Oncle;+221 731415252;Non;Dakar;Village Olympique de la Jeunesse;Communications
Moussa;Modou;Diagne;1992-02-11;burkinabaise;Ziguinchor;moussa.diagne213@yahoo.fr;Arabe;Homme;+221 712471212;VOL00658;CIN;QO6UPUN95;2020-06-24;2030-06-22;Police Nationale;605 Rue 125;Louga;68464;Sénégal;Mamadou;Soeur;+221 731740471;Oui;Saly;Services Liguinstiques;Services Médicaux
Gabriel;Mamadou;Fall;2004-08-29;Ivoirienne;Kaolack;gabriel.fall878@gmail.com;Espagnol;Homme;+221 764929703;VOL00659;Passeport;OD71WD4PX;2016-07-02;2026-06-30;Gendarmerie Nationale;862 Rue 102;Tambacounda;19955;Sénégal;Aminata;Mère;+221 730331025;Non;Dakar;Services Liguinstiques;Services Liguinstiques
Moussa;Alioune;Fall;1998-12-05;béninoise;Kaolack;moussa.fall665@gmail.com;Arabe;Homme;+221 760798811;VOL00660;CIN;4M4201KS9;2022-05-03;2032-04-30;Préfecture;113 Rue 72;Tambacounda;34620;Sénégal;Nafi;Père;+221 783776254;Oui;Saly;Réstauration;Durabilité
Serigne;Modou;Ba;2004-07-14;Sénégalaise;Dakar;serigne.ba206@yahoo.fr;Français;Homme;+221 715407059;VOL00661;CIN;3D5RMFRX8;2023-05-05;2033-05-02;Gendarmerie Nationale;544 Rue 11;Kolda;41194;Sénégal;Kadiatou;Tante;+221 730262195;Non;Saly;Communications;Billeterie
Boubacar;François;Keita;2000-09-19;béninoise;Kaolack;boubacar.keita396@yahoo.fr;Italien;Homme;+221 754989447;VOL00662;Passeport;FHQAS2HI6;2019-04-02;2029-03-30;Préfecture;759 Rue 192;Tambacounda;41245;Sénégal;Mamadou;Oncle;+221 788609766;Oui;Saly;Protocole;Village Olympique de la Jeunesse
Pape;François;Konaté;2007-03-26;mauritanienne;Kaolack;pape.konaté856@gmail.com;Anglais;Homme;+221 752709281;VOL00663;Passeport;8Q2FHIYKC;2024-04-23;2034-04-21;Police Nationale;169 Rue 134;Tambacounda;76330;Sénégal;Cheikh;Père;+221 767952056;Oui;Saly;Durabilité;Réstauration
Emmanuel;Amadou;Koroma;1998-05-02;mauritanienne;Thiès;emmanuel.koroma849@yahoo.fr;Français;Homme;+221 767693258;VOL00664;Passeport;57K0DXYVQ;2016-03-09;2026-03-07;Ministère de l'Intérieur;951 Rue 164;Ziguinchor;42042;Sénégal;Bernadette;Conjoint;+221 787043826;Oui;Saly;Services Liguinstiques;Technologie
Lamine;Emmanuel;Dasylva;1993-05-23;Gambienne;Dakar;lamine.dasylva158@outlook.com;Italien;Homme;+221 717337543;VOL00665;CIN;FHIXDLUSF;2024-08-21;2034-08-19;Ministère de l'Intérieur;800 Rue 31;Saint-Louis;63075;Sénégal;Mor;Oncle;+221 735444173;Oui;Saly;Village Olympique de la Jeunesse;Technologie
Babacar;Abdou;Koroma;2006-09-12;togolaise;Kaolack;babacar.koroma122@outlook.com;Italien;Homme;+221 720404005;VOL00666;CIN;REP28D9YE;2017-02-04;2027-02-02;Police Nationale;133 Rue 9;Dakar;83755;Sénégal;Serigne;Père;+221 716343050;Oui;Saly;Village Olympique de la Jeunesse;Cérémonies
Pape;Antoine;Sarr;1996-08-05;burkinabaise;Kaolack;pape.sarr292@yahoo.fr;Wolof;Homme;+221 775230270;VOL00667;Passeport;57SMDQ180;2023-04-22;2033-04-19;Police Nationale;360 Rue 12;Diourbel;37695;Sénégal;Paul;Mère;+221 763840012;Oui;Diamniadio;Marketing;Arrivées & Départs
Jean;Serigne;Ndiaye;1997-06-15;burkinabaise;Dakar;jean.ndiaye195@gmail.com;Français;Homme;+221 719408439;VOL00668;CIN;0D1VO5F31;2016-05-16;2026-05-14;Police Nationale;135 Rue 167;Ziguinchor;76385;Sénégal;Marie;Ami;+221 733958107;Oui;Dakar;Accrédidation;Ressources Humaines
Antoine;Cheikh;Cissé;1997-02-26;cap verdienne;Ziguinchor;antoine.cissé131@yahoo.fr;Espagnol;Homme;+221 716867763;VOL00669;Passeport;1JBS7VMQK;2023-03-19;2033-03-16;Préfecture;967 Rue 21;Sédhiou;78068;Sénégal;Daouda;Mère;+221 756183949;Non;Diamniadio;Village Olympique de la Jeunesse;Sport
Cheikh;Abdoulaye;Fall;2006-03-16;Française;Ziguinchor;cheikh.fall630@yahoo.fr;Portugais;Homme;+221 717057247;VOL00670;CIN;O9NZ9ZENW;2021-09-05;2031-09-03;Gendarmerie Nationale;515 Rue 30;Fatick;69437;Sénégal;Lamine;Père;+221 768363971;Non;Saly;Accrédidation;Opérations Médiatiques
Moussa;Gabriel;Doumbia;2001-07-10;Sénégalaise;Ziguinchor;moussa.doumbia117@gmail.com;Portugais;Homme;+221 714458964;VOL00671;CIN;GEDM298KO;2019-11-11;2029-11-08;Police Nationale;4 Rue 140;Sédhiou;25251;Sénégal;Daouda;Ami;+221 772601467;Non;Saly;Réstauration;Billeterie
Abdoulaye;Ousmane;Diagne;2007-04-26;mauritanienne;Kaolack;abdoulaye.diagne237@gmail.com;Français;Homme;+221 798041756;VOL00672;Passeport;UXXYBN9ZW;2023-12-09;2033-12-06;Préfecture;153 Rue 27;Mbour;59729;Sénégal;Claire;Frère;+221 720882944;Non;Saly;Services Médicaux;Technologie
Ibrahima;Pape;Jallow;1992-02-01;Malienne;Ziguinchor;ibrahima.jallow836@yahoo.fr;Français;Homme;+221 719748460;VOL00673;CIN;DNHD9TKNC;2019-11-17;2029-11-14;Préfecture;331 Rue 38;Sédhiou;37221;Sénégal;Modou;Oncle;+221 774176464;Non;Diamniadio;Village Olympique de la Jeunesse;Réstauration
Paul;Ibrahima;Sy;2000-10-02;cap verdienne;Dakar;paul.sy164@gmail.com;Anglais;Homme;+221 749693851;VOL00674;Passeport;F3YYPQWO3;2022-08-03;2032-07-31;Police Nationale;996 Rue 120;Kolda;32016;Sénégal;Mamadou;Frère;+221 772412781;Non;Diamniadio;Technologie;Durabilité
Gabriel;Babacar;Traoré;2004-11-27;burkinabaise;Dakar;gabriel.traoré382@yahoo.fr;Wolof;Homme;+221 738016355;VOL00675;Passeport;QD8GO887W;2016-09-12;2026-09-10;Gendarmerie Nationale;332 Rue 37;Kaffrine;41623;Sénégal;Nafi;Soeur;+221 719855242;Oui;Diamniadio;Billeterie;Village Olympique de la Jeunesse
Cheikh;André;Cissé;1998-08-04;Malienne;Kaolack;cheikh.cissé951@yahoo.fr;Français;Homme;+221 721484290;VOL00676;Passeport;3IZHXR2JX;2024-07-13;2034-07-11;Gendarmerie Nationale;659 Rue 14;Louga;75447;Sénégal;Angèle;Conjoint;+221 763044258;Oui;Dakar;Durabilité;Communications
Pape;Michel;Tall;2005-01-10;cap verdienne;Dakar;pape.tall625@gmail.com;Portugais;Homme;+221 757035972;VOL00677;CIN;GIZJFG95N;2021-01-08;2031-01-06;Gendarmerie Nationale;381 Rue 43;Kaffrine;66938;Sénégal;Alioune;Tante;+221 725215722;Non;Dakar;Accrédidation;Technologie
Tidiane;Emmanuel;Fall;1993-12-14;Française;Ziguinchor;tidiane.fall81@yahoo.fr;Français;Homme;+221 710211923;VOL00678;Passeport;8LJ7U0CRZ;2022-06-29;2032-06-26;Ministère de l'Intérieur;766 Rue 143;Sédhiou;36494;Sénégal;Daba;Frère;+221 733060215;Oui;Dakar;Arrivées & Départs;Transport
Babacar;Gabriel;Diop;1993-05-23;Française;Dakar;babacar.diop160@gmail.com;Français;Homme;+221 703531262;VOL00679;Passeport;VYM82L6L3;2024-04-23;2034-04-21;Gendarmerie Nationale;729 Rue 72;Louga;99399;Sénégal;Ndeye;Frère;+221 761115204;Oui;Diamniadio;Durabilité;Sport
Moussa;Joseph;Camara;1993-01-28;Guinéenne;Ziguinchor;moussa.camara151@gmail.com;Wolof;Homme;+221 798465512;VOL00680;Passeport;08JJ16492;2020-12-04;2030-12-02;Préfecture;230 Rue 104;Mbour;54516;Sénégal;El Hadji;Soeur;+221 720778418;Non;Diamniadio;Communications;Ressources Humaines
Moussa;Antoine;Sy;1991-09-18;Ivoirienne;Dakar;moussa.sy129@gmail.com;Arabe;Homme;+221 754551879;VOL00681;Passeport;ZKQ6CH5J9;2015-08-09;2025-08-06;Gendarmerie Nationale;532 Rue 83;Kaolack;71810;Sénégal;Pape;Père;+221 718820241;Oui;Saly;Services Médicaux;Services aux Comités Nationaux
Emmanuel;Michel;Ndiaye;2003-09-26;burkinabaise;Dakar;emmanuel.ndiaye632@outlook.com;Anglais;Homme;+221 769972780;VOL00682;CIN;1JHPXON58;2023-09-10;2033-09-07;Police Nationale;401 Rue 114;Kaffrine;65083;Sénégal;Mamadou;Ami;+221 709574753;Oui;Diamniadio;Arrivées & Départs;Services aux Comités Nationaux
Joseph;Cheikh;Ka;1999-06-02;béninoise;Dakar;joseph.ka282@outlook.com;Wolof;Homme;+221 763701602;VOL00683;Passeport;DS6D62JXT;2015-09-30;2025-09-27;Gendarmerie Nationale;212 Rue 90;Saint-Louis;38444;Sénégal;Alioune;Conjoint;+221 715449109;Oui;Saly;Réstauration;Services Médicaux
